image_id,file_name,width,height,algo_found,iou,corner_err_mean_px,corner_err_max_px
1,test0.jpg,3072,1185,YES,0.98408,1.636,2.399
2,test1.jpg,960,1280,NO,,,
3,test2.jpg,3072,1499,YES,0.975997,3.182,3.931
4,test3.jpg,1280,960,NO,,,
5,test4.jpg,960,1280,NO,,,
6,test5.jpg,960,1280,NO,,,
7,test6.jpg,5792,4344,YES,0.976052,5.121,8.266
8,test7.jpg,5792,4344,YES,0.965977,7.79,9.476
9,test8.jpg,5792,4344,YES,0.975363,5.871,7.807
10,test9.jpg,5792,4344,YES,0.973924,6.763,9.818
11,test10.jpg,5792,4344,YES,0.975527,4.75,9.403
12,test11.jpg,5792,4344,YES,0.980631,4.404,8.314
13,test12.jpg,5792,4344,YES,0.978746,3.647,4.239
14,test13.jpg,5792,4344,YES,0.97484,5.007,7.888
15,test14.jpg,5792,4344,YES,0.976603,6.283,12.735
16,test15.jpg,5792,4344,YES,0.976763,5.059,7.552
17,test16.jpg,5792,4344,YES,0.972361,6.593,9.289
18,test17.jpg,5792,4344,YES,0.983931,4.537,8.089
19,test18.jpg,5792,4344,YES,0.981947,3.75,5.07
20,test19.jpg,5792,4344,YES,0.977826,6.515,14.045
21,test20.jpg,5792,4344,YES,0.970964,5.041,8.053
22,test21.jpg,5792,4344,YES,0.969968,8.71,10.069
23,test22.jpg,4344,4578,YES,0.919663,9.141,15.79
24,test23.jpg,4344,3839,NO,,,
25,test24.jpg,4339,2344,YES,0.961934,5.458,7.049
26,test25.jpg,4344,2149,YES,0.969168,3.472,4.984
27,test26.jpg,4344,2439,YES,0.95207,4.761,7.392
28,test27.jpg,4342,2351,NO,,,
29,test28.jpg,5077,3036,YES,0.981395,3.023,6.475
30,test29.jpg,5786,2185,YES,0.918482,7.85,13.083
31,test30.jpg,4008,2656,YES,0.955713,4.677,7.737
32,test31.jpg,4164,1968,YES,0.942007,6.137,11.058
33,test32.jpg,4344,3327,YES,0.9369,10.832,15.656
34,test33.jpg,4344,3690,NO,,,
35,test34.jpg,4344,2902,NO,,,
36,test35.jpg,4344,2637,YES,0.975413,3.676,5.302
37,test36.jpg,4344,1555,NO,,,
38,test37.jpg,4344,1714,NO,,,
39,test38.jpg,4342,1183,NO,,,
